eventID,datasetID,siteID,startYear,startMonth,startDay,endYear,endMonth,endDay,eventDate,startTime,endTime,eventTimeBlocks,eventDuration,eventDurationUnitID,studyDiurnalityID,reportedWeather,recordedBy,eventRemarks,eventMethodsID,verbatimEventMethods,eventMethodProtocolNames,eventMethodProtocolReferences,isAbundanceReported,isAbsenceReported,isSamplingEffortReported,samplingEffortUnitID,samplingEffortValue,targetTaxonomicScope,excludedTaxonomicScope,targetLifestageScopeID,excludedLifeStageScopeID,targetGrowthFormScope,excludedGrowthFormScope,targetSize,excludedSize
28,10,27,1989,4,27,1989,4,27,,00/01/1900,00/01/1900,1,70,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,70,Aves,,2,,,,,
29,10,28,1989,4,27,1989,4,27,,00/01/1900,00/01/1900,1,55,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,55,Aves,,2,,,,,
30,10,29,1989,4,27,1989,4,27,,00/01/1900,00/01/1900,1,45,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,45,Aves,,2,,,,,
31,10,30,1989,4,27,1989,4,27,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
32,10,27,1989,5,5,1989,5,5,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
33,10,28,1989,5,5,1989,5,5,,00/01/1900,00/01/1900,1,55,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,55,Aves,,2,,,,,
34,10,29,1989,5,5,1989,5,5,,00/01/1900,00/01/1900,1,35,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,35,Aves,,2,,,,,
35,10,30,1989,5,5,1989,5,5,,00/01/1900,00/01/1900,1,30,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,30,Aves,,2,,,,,
36,10,27,1989,5,6,1989,5,6,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
37,10,28,1989,5,6,1989,5,6,,00/01/1900,00/01/1900,1,50,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,50,Aves,,2,,,,,
38,10,29,1989,5,6,1989,5,6,,00/01/1900,00/01/1900,1,30,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,30,Aves,,2,,,,,
