,previousIdentification,scientificName,observation
92,Certhia sp.,NA,NOT FOUND in IOC World Bird List or BirdLife International
93,Cervus frugilegus,Corvus frugilegus,Updated according to IOC World Bird List
94,Cettia cetti,Cettia cetti,Ok (IOC World Bird List)
95,Ciconia ciconia,Ciconia ciconia,Ok (IOC World Bird List)
96,Ciconia nigra,Ciconia nigra,Ok (IOC World Bird List)
97,Cinclus cinclus,Cinclus cinclus,Ok (IOC World Bird List)
98,Circus aeruginosus,Circus aeruginosus,Ok (IOC World Bird List)
99,Circus cyaneus,Circus cyaneus,Ok (IOC World Bird List)
100,Circus pygargus,Circus pygargus,Ok (IOC World Bird List)
101,Circus sp.,NA,NOT FOUND in IOC World Bird List or BirdLife International
102,Clangula hyemalis,Clangula hyemalis,Ok (IOC World Bird List)
103,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Ok (IOC World Bird List)
104,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Ok (IOC World Bird List)
105,Coloeus monedula,Coloeus monedula,Ok (IOC World Bird List)
106,Colubma oenas,NA,NOT FOUND in IOC World Bird List or BirdLife International
107,Columba livia,Columba livia,Ok (IOC World Bird List)
108,Columba livia f. domestica,Columba livia,Updated according to IOC World Bird List
109,Columba livia f.dom.,Columba livia,Updated according to IOC World Bird List
110,Columba oenas,Columba oenas,Ok (IOC World Bird List)
111,Columba palumbus,Columba palumbus,Ok (IOC World Bird List)
112,Coracias garrulus,Coracias garrulus,Ok (IOC World Bird List)
113,Corvus corax,Corvus corax,Ok (IOC World Bird List)
114,Corvus cornix,Corvus cornix,Ok (IOC World Bird List)
115,Corvus corone,Corvus corone,Ok (IOC World Bird List)
116,Corvus corone cornix,Corvus corone,Updated according to IOC World Bird List
117,Corvus corone corone,Corvus corone,Updated according to IOC World Bird List
118,Corvus frugilegus,Corvus frugilegus,Ok (IOC World Bird List)
119,Corvus monedula,Corvus monedula,Ok (BirdLife International)
120,Coturnix coturnix,Coturnix coturnix,Ok (IOC World Bird List)
121,Crex crex,Crex crex,Ok (IOC World Bird List)
122,Cuculus canorus,Cuculus canorus,Ok (IOC World Bird List)
123,Curruca communis,Curruca communis,Ok (IOC World Bird List)
124,Curruca curruca,Curruca curruca,Ok (IOC World Bird List)
125,Cyanistes caeruleus,Cyanistes caeruleus,Ok (IOC World Bird List)
126,Cyanistes coeruleus,Cyanistes caeruleus,Updated according to IOC World Bird List
127,Cygnus columbianus bewickii,Cygnus columbianus,Updated according to IOC World Bird List
128,Cygnus cygnus,Cygnus cygnus,Ok (IOC World Bird List)
129,Cygnus olor,Cygnus olor,Ok (IOC World Bird List)
130,Cygnus sp.,NA,NOT FOUND in IOC World Bird List or BirdLife International
131,Delichon urbica,Delichon urbicum,Updated according to IOC World Bird List
132,Delichon urbicum,Delichon urbicum,Ok (IOC World Bird List)
133,Dendrocopos leucotos,Dendrocopos leucotos,Ok (IOC World Bird List)
134,Dendrocopos major,Dendrocopos major,Ok (IOC World Bird List)
135,Dendrocopos medius,Dendrocoptes medius,Updated according to IOC World Bird List
136,Dendrocopos minor,Dendrocopos minor,Ok (BirdLife International)
137,Dendrocopos syriacus,Dendrocopos syriacus,Ok (IOC World Bird List)
138,Dendrocoptes medius,Dendrocoptes medius,Ok (IOC World Bird List)
139,Dendrocopus major,Dendrocopos major,Updated according to IOC World Bird List
140,Dendrocopus medius,Dendrocoptes medius,Updated according to IOC World Bird List
141,Dendrocopus minor,Dendrocopos minor,Updated according to BirdLife International
142,Dryobates minor,Dryobates minor,Ok (IOC World Bird List)
143,Dryocopos martius,Dryocopus martius,Updated according to IOC World Bird List
144,Dryocopus martius,Dryocopus martius,Ok (IOC World Bird List)
