"","previousIdentification","scientificName","observation"
"190","Ichthyaetus melanocephalus","Ichthyaetus melanocephalus","Ok birdL"
"191","Ixobrychus minutus","Ixobrychus minutus","Ok birdL"
"192","Jynx torquilla","Jynx torquilla","Ok birdL"
"193","Lanius collurio","Lanius collurio","Ok birdL"
"194","Lanius excubitor","Lanius excubitor","Ok birdL"
"195","Larus argentatus","Larus argentatus","Ok birdL"
"196","Larus cachinnans","Larus cachinnans","Ok birdL"
"197","Larus canus","Larus canus","Ok birdL"
"198","Larus fuscus","Larus fuscus","Ok birdL"
"199","Larus ridibundus","Larus ridibundus","Ok birdL"
"200","Larus sp.","Larus sp.","Ok birdL"
"201","Limosa lapponica","Limosa lapponica","Ok birdL"
"202","Limosa limosa ","Limosa limosa ","Ok birdL"
"203","Linaria cannabina","Linaria cannabina","Ok birdL"
"204","Locustella fluviatilis","Locustella fluviatilis","Ok birdL"
"205","Locustella luscinioides","Locustella luscinioides","Ok birdL"
"206","Locustella naevia","Locustella naevia","Ok birdL"
"207","Lophoohanes cristatus","Lophoohanes cristatus","Ok birdL"
"208","Lophophanes cristatus","Lophophanes cristatus","Ok birdL"
"209","Lophophanes cristaus","Lophophanes cristaus","Ok birdL"
"210","Loxia curvirostra","Loxia curvirostra","Ok birdL"
"211","Lullula arborea","Lullula arborea","Ok birdL"
"212","Lulula arborea","Lulula arborea","Ok birdL"
"213","Luscinia luscinia","Luscinia luscinia","Ok birdL"
"214","Luscinia megarhynchos","Luscinia megarhynchos","Ok birdL"
"215","Luscinia svecica","Luscinia svecica","Ok birdL"
"216","Luscinia svecica cyanecula","Luscinia svecica cyanecula","Ok birdL"
"217","Luscinia svecica svecica","Luscinia svecica svecica","Ok birdL"
"218","Lymnocryptes minimus","Lymnocryptes minimus","Ok birdL"
"219","Lyrurus tetrix","Lyrurus tetrix","Ok birdL"
"220","Mareca penelope","Mareca penelope","Ok birdL"
"221","Mareca strepera","Mareca strepera","Ok birdL"
"222","Melanitta fusca","Melanitta fusca","Ok birdL"
"223","Melanitta nigra","Melanitta nigra","Ok birdL"
"224","Mergellus albellus","Mergellus albellus","Ok birdL"
"225","Mergus merganser","Mergus merganser","Ok birdL"
"226","Mergus serrator ","Mergus serrator ","Ok birdL"
"227","Merops apiaster","Merops apiaster","Ok birdL"
"228","Milvus migrans ","Milvus migrans ","Ok birdL"
"229","Milvus milvus","Milvus milvus","Ok birdL"
"230","Motacilia cinerea","Motacilia cinerea","Ok birdL"
"231","Motacilla alba","Motacilla alba","Ok birdL"
"232","Motacilla cinerea","Motacilla cinerea","Ok birdL"
"233","Motacilla citreola ","Motacilla citreola ","Ok birdL"
"234","Motacilla flava","Motacilla flava","Ok birdL"
"235","Motacilla sp.","Motacilla sp.","Ok birdL"
"236","Motecilla alba","Motecilla alba","Ok birdL"
"237","Muscicapa hypoleuca","Muscicapa hypoleuca","Ok birdL"
"238","Muscicapa striata","Muscicapa striata","Ok birdL"
"239","Netta rufina ","Netta rufina ","Ok birdL"
"240","Nucifraga caryocatactes","Nucifraga caryocatactes","Ok birdL"
"241","Numenius arquata","Numenius arquata","Ok birdL"
"242","Numenius phaeopus","Numenius phaeopus","Ok birdL"
"243","Nycticorax nycticorax","Nycticorax nycticorax","Ok birdL"
"244","Oenanthe oenanthe","Oenanthe oenanthe","Ok birdL"
"245","Oriolus oriolus","Oriolus oriolus","Ok birdL"
"246","Pandion haliaetus","Pandion haliaetus","Ok birdL"
"247","Panurus biarmicus","Panurus biarmicus","Ok birdL"
"248","Parus ater","Parus ater","Ok birdL"
"249","Parus caeruelus","Parus caeruelus","Ok birdL"
"250","Parus caeruleus","Parus caeruleus","Ok birdL"
"251","Parus coeruleus","Parus coeruleus","Ok birdL"
"252","Parus cristatus","Parus cristatus","Ok birdL"
"253","Parus major","Parus major","Ok birdL"
"254","Parus montanus","Parus montanus","Ok birdL"
"255","Parus palustris","Parus palustris","Ok birdL"
"256","Passer domesticus","Passer domesticus","Ok birdL"
"257","Passer montanus","Passer montanus","Ok birdL"
"258","Perdix perdix","Perdix perdix","Ok birdL"
"259","Periparus ater","Periparus ater","Ok birdL"
"260","Pernis apivorus","Pernis apivorus","Ok birdL"
"261","Perus major","Perus major","Ok birdL"
"262","Phalacrocorax carbo","Phalacrocorax carbo","Ok birdL"
"263","Phalaropus lobatus","Phalaropus lobatus","Ok birdL"
"264","Phasianus colchicus","Phasianus colchicus","Ok birdL"
"265","Phasianus colchius","Phasianus colchius","Ok birdL"
"266","Philomachus pugnax ","Philomachus pugnax ","Ok birdL"
"267","Phoenicurus ochruros","Phoenicurus ochruros","Ok birdL"
"268","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Ok birdL"
"269","Phylloscopus collybita","Phylloscopus collybita","Ok birdL"
"270","Phylloscopus colybita","Phylloscopus colybita","Ok birdL"
"271","Phylloscopus sibilatrix","Phylloscopus sibilatrix","Ok birdL"
"272","Phylloscopus trochillus","Phylloscopus trochillus","Ok birdL"
"273","Phylloscopus trochiloides ","Phylloscopus trochiloides ","Ok birdL"
"274","Phylloscopus trochilus","Phylloscopus trochilus","Ok birdL"
