verbatimIdentification
Poecile atricapillus
Poecile montanus
Poecile palustris
Porphyrio porphyrio
Porzana parva
Porzana porzana
Porzana pusilla
Prunella collaris 
Prunella modularis
Pyrrhula pyrrhula
Pyrrhulla pyrrhula
Rallus aquaticus
Recurvirostra avosetta
Regulus ignicapilla
Regulus ignicapillus
Regulus regulus
Remiz pendulinus
Riparia riparia
Saxicola rubetra
Saxicola rubicola
Saxicola torquata 
Saxicola torquatus
Scolopax rusticola
Serinus canaria
Serinus serinus
Sitta eroupaea
Sitta europaea
Sitta europea
Spatula clypeata
Spatula querquedula
Spinus spinus
Stercorarius parasiticus
Stercorarius pomarinus
Sterna caspica
Sterna hirundo
Sternula albifrons
Streptopelia decaocto
Streptopelia turtur
Strix aluco
Strunus vulgaris
Strurnus vulgaris
Sturnus vulgaris
Svivia borin
Sylvia atricapilla
Sylvia borin
Sylvia communis
Sylvia curruca
Sylvia nisoria
Sylvia nissoria 
Tadorna ferruginea
Tadorna tadorna
Tachybaptus ruficollis
Tatrastes bonasia
Tetrao tetrix 
Tetrao urogallus 
Tetrastes bonasia
Tringa erythropus 
Tringa glareola 
Tringa hypoleuca
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Troglodytes troglodytes
Tudrus torquatus
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Tyto alba
Upupa epops
Upupa epos
Vanellus gregarius
Vanellus vanellus
